LOCAL,DATA,VALOR
85,20231001 00:00:00,436
85,20231101 00:00:00,0
85,20231201 00:00:00,176
85,20240101 00:00:00,232
85,20240201 00:00:00,210
85,20240301 00:00:00,0
85,20240401 00:00:00,440
85,20240501 00:00:00,562
85,20240601 00:00:00,80
85,20240701 00:00:00,356
85,20240801 00:00:00,470
85,20240901 00:00:00,347
85,20241001 00:00:00,377
85,20241201 00:00:00,269
85,20250101 00:00:00,279
85,20230601 00:00:00,240
85,20230701 00:00:00,148
84,20230901 00:00:00,366.13
84,20231001 00:00:00,257
84,20231101 00:00:00,435
84,20231201 00:00:00,144
84,20240101 00:00:00,415
84,20240201 00:00:00,230
84,20240301 00:00:00,180
84,20240401 00:00:00,490
84,20240501 00:00:00,698
84,20240601 00:00:00,604
84,20240701 00:00:00,170
84,20240801 00:00:00,290
84,20240901 00:00:00,465
84,20241001 00:00:00,491
84,20241101 00:00:00,264
84,20241201 00:00:00,385
84,20230701 00:00:00,295
84,20230901 00:00:00,461.52
84,20231001 00:00:00,320
84,20231101 00:00:00,435
84,20231201 00:00:00,144
84,20240101 00:00:00,207
83,20240201 00:00:00,230
83,20240301 00:00:00,360
83,20240401 00:00:00,244
83,20240501 00:00:00,466
83,20240601 00:00:00,906
83,20240701 00:00:00,170
83,20240801 00:00:00,580
83,20240901 00:00:00,465
83,20241001 00:00:00,245
83,20241101 00:00:00,529
83,20241201 00:00:00,192
83,20230301 00:00:00,120
83,20230401 00:00:00,86.67
83,20230601 00:00:00,95
83,20230701 00:00:00,124
83,20230801 00:00:00,346
83,20230901 00:00:00,329.67
83,20231001 00:00:00,292
83,20231101 00:00:00,488
83,20231201 00:00:00,312
83,20240101 00:00:00,254
83,20240201 00:00:00,331
82,20240301 00:00:00,144
82,20240401 00:00:00,337
82,20240501 00:00:00,252
82,20240601 00:00:00,178
82,20240801 00:00:00,828
82,20240901 00:00:00,609
82,20241001 00:00:00,518
82,20241101 00:00:00,371
82,20241201 00:00:00,172
82,20250101 00:00:00,0
82,20230501 00:00:00,630
82,20230601 00:00:00,170
82,20230701 00:00:00,309
82,20230901 00:00:00,366.13
82,20231001 00:00:00,257
82,20231101 00:00:00,434
82,20231201 00:00:00,144
82,20240101 00:00:00,208
82,20240201 00:00:00,230
82,20240301 00:00:00,180
82,20240401 00:00:00,490
82,20240501 00:00:00,232
81,20240601 00:00:00,604
80,20240701 00:00:00,342
80,20240801 00:00:00,578
80,20240901 00:00:00,232
80,20241001 00:00:00,491
80,20241101 00:00:00,264
80,20241201 00:00:00,0
80,20230501 00:00:00,161
80,20230601 00:00:00,261
80,20230701 00:00:00,616
80,20230901 00:00:00,589.07
80,20231001 00:00:00,0
80,20231101 00:00:00,434
80,20231201 00:00:00,144
80,20240101 00:00:00,416
80,20240201 00:00:00,0
80,20240301 00:00:00,360
79,20240401 00:00:00,490
78,20240501 00:00:00,232
77,20240601 00:00:00,302
77,20240701 00:00:00,170
77,20240801 00:00:00,578
77,20240901 00:00:00,232
77,20241001 00:00:00,245
77,20241101 00:00:00,529
77,20241201 00:00:00,385
77,20230501 00:00:00,460
77,20230601 00:00:00,170
77,20230701 00:00:00,617
77,20230901 00:00:00,573.52
77,20231001 00:00:00,257
77,20231101 00:00:00,433
77,20231201 00:00:00,288
77,20240101 00:00:00,416
76,20240201 00:00:00,230
75,20240301 00:00:00,542
75,20240401 00:00:00,0
75,20240501 00:00:00,232
75,20240601 00:00:00,302
75,20240701 00:00:00,170
75,20240801 00:00:00,578
75,20240901 00:00:00,232
75,20241001 00:00:00,0
75,20241101 00:00:00,0
75,20241201 00:00:00,577
75,20230901 00:00:00,632.98
75,20231001 00:00:00,436
74,20231101 00:00:00,140
74,20231201 00:00:00,0
74,20240101 00:00:00,464
74,20240201 00:00:00,210
74,20240301 00:00:00,387
74,20240401 00:00:00,441
74,20240501 00:00:00,281
74,20240601 00:00:00,80
74,20240801 00:00:00,470
74,20240901 00:00:00,347
74,20241001 00:00:00,567
74,20241201 00:00:00,1325
74,20250101 00:00:00,279
74,20230901 00:00:00,594.65
73,20231001 00:00:00,435
73,20231101 00:00:00,280
73,20231201 00:00:00,176
73,20240101 00:00:00,464
73,20240201 00:00:00,419
73,20240301 00:00:00,387
73,20240501 00:00:00,563
73,20240601 00:00:00,80
73,20240701 00:00:00,356
73,20240801 00:00:00,472
73,20240901 00:00:00,347
73,20241001 00:00:00,377
73,20241201 00:00:00,798
73,20250101 00:00:00,279
73,20230501 00:00:00,479
72,20230601 00:00:00,170
72,20230701 00:00:00,124
72,20230801 00:00:00,489
72,20230901 00:00:00,219.78
72,20231001 00:00:00,584
72,20231101 00:00:00,326
72,20231201 00:00:00,156
72,20240101 00:00:00,254
72,20240201 00:00:00,331
72,20240301 00:00:00,143
72,20240401 00:00:00,168
71,20240501 00:00:00,251
71,20240601 00:00:00,532
71,20240801 00:00:00,128
71,20240901 00:00:00,609
71,20241001 00:00:00,171
71,20241101 00:00:00,185
71,20241201 00:00:00,690
71,20230801 00:00:00,474
71,20231001 00:00:00,552
71,20231101 00:00:00,332
71,20231201 00:00:00,801
71,20240101 00:00:00,814
71,20240301 00:00:00,492
71,20240501 00:00:00,428
70,20240601 00:00:00,436
70,20240701 00:00:00,156
70,20240801 00:00:00,450
70,20241001 00:00:00,213
70,20241101 00:00:00,456
70,20241201 00:00:00,401
70,20230701 00:00:00,124
70,20230801 00:00:00,489
69,20230901 00:00:00,109.89
69,20231001 00:00:00,145
69,20231101 00:00:00,163
69,20231201 00:00:00,155
69,20240101 00:00:00,255
69,20240201 00:00:00,498
67,20240301 00:00:00,429
67,20240401 00:00:00,337
67,20240501 00:00:00,502
67,20240601 00:00:00,178
65,20240801 00:00:00,551
65,20241001 00:00:00,346
65,20241101 00:00:00,185
65,20241201 00:00:00,690
65,20250101 00:00:00,793
63,20230301 00:00:00,280
62,20230501 00:00:00,479
62,20230601 00:00:00,170
62,20230701 00:00:00,124
62,20230801 00:00:00,346
62,20230901 00:00:00,219.78
62,20231001 00:00:00,146
62,20231101 00:00:00,162
62,20231201 00:00:00,156
62,20240101 00:00:00,254
61,20240201 00:00:00,165
61,20240301 00:00:00,286
61,20240401 00:00:00,169
61,20240501 00:00:00,251
61,20240601 00:00:00,354
61,20240801 00:00:00,552
61,20240901 00:00:00,204
61,20241001 00:00:00,346
60,20241101 00:00:00,371
60,20241201 00:00:00,517
60,20250101 00:00:00,213
60,20230301 00:00:00,120
60,20230401 00:00:00,86.67
60,20230501 00:00:00,480
60,20230601 00:00:00,247
60,20230701 00:00:00,124
60,20230801 00:00:00,246
60,20230901 00:00:00,439.56
60,20231001 00:00:00,292
60,20231101 00:00:00,162
60,20231201 00:00:00,466
59,20240101 00:00:00,254
59,20240201 00:00:00,165
59,20240301 00:00:00,430
59,20240401 00:00:00,168
59,20240501 00:00:00,251
59,20240601 00:00:00,354
59,20240801 00:00:00,276
59,20240901 00:00:00,407
59,20241001 00:00:00,172
58,20241101 00:00:00,185
58,20241201 00:00:00,0
58,20250101 00:00:00,213
58,20230901 00:00:00,626.09
58,20231001 00:00:00,207
58,20231101 00:00:00,435
58,20231201 00:00:00,145
58,20240101 00:00:00,415
58,20240201 00:00:00,230
58,20240301 00:00:00,180
58,20240401 00:00:00,244
58,20240501 00:00:00,467
58,20240601 00:00:00,604
57,20240701 00:00:00,170
57,20240801 00:00:00,290
57,20240901 00:00:00,233
57,20241001 00:00:00,245
57,20241101 00:00:00,529
57,20241201 00:00:00,385
57,20230901 00:00:00,222
57,20231001 00:00:00,257
57,20231101 00:00:00,435
57,20231201 00:00:00,145
57,20240101 00:00:00,623
57,20240201 00:00:00,460
57,20240301 00:00:00,0
56,20240401 00:00:00,244
56,20240501 00:00:00,466
56,20240601 00:00:00,302
56,20240701 00:00:00,170
56,20240801 00:00:00,289
56,20240901 00:00:00,697
56,20241001 00:00:00,491
56,20241101 00:00:00,529
56,20241201 00:00:00,0
56,20230801 00:00:00,316
56,20231001 00:00:00,368
56,20231101 00:00:00,332
55,20231201 00:00:00,0
55,20240101 00:00:00,542
55,20240301 00:00:00,492
55,20240501 00:00:00,641
55,20240601 00:00:00,436
55,20240701 00:00:00,313
55,20240801 00:00:00,450
55,20241001 00:00:00,213
55,20241101 00:00:00,683
55,20241201 00:00:00,401
55,20230801 00:00:00,304
55,20230901 00:00:00,439.56
55,20231001 00:00:00,580
50,20231101 00:00:00,280
50,20231201 00:00:00,530
50,20240201 00:00:00,209
50,20240401 00:00:00,442
50,20240601 00:00:00,532
50,20240801 00:00:00,551
50,20240901 00:00:00,406
50,20241101 00:00:00,0
50,20241201 00:00:00,345
50,20250101 00:00:00,425
50,20231201 00:00:00,140
50,20240101 00:00:00,415
50,20240201 00:00:00,230
50,20240301 00:00:00,180
50,20240401 00:00:00,490
50,20240501 00:00:00,466
50,20240601 00:00:00,604
50,20240701 00:00:00,512
49,20240801 00:00:00,289
49,20240901 00:00:00,465
49,20241001 00:00:00,245
49,20241101 00:00:00,529
49,20241201 00:00:00,385
49,20230501 00:00:00,479
49,20230601 00:00:00,250
49,20230701 00:00:00,124
49,20230801 00:00:00,532
49,20230901 00:00:00,219.78
49,20231001 00:00:00,292
49,20231101 00:00:00,0
49,20231201 00:00:00,156
49,20240101 00:00:00,254
49,20240201 00:00:00,332
49,20240301 00:00:00,143
49,20240401 00:00:00,168
49,20240501 00:00:00,252
48,20240601 00:00:00,532
48,20240801 00:00:00,275
48,20240901 00:00:00,204
48,20241001 00:00:00,171
48,20241101 00:00:00,180
48,20241201 00:00:00,172
48,20250101 00:00:00,213
48,20230901 00:00:00,387.65
48,20231001 00:00:00,290
48,20231101 00:00:00,140
48,20231201 00:00:00,176
48,20240101 00:00:00,232
48,20240201 00:00:00,420
48,20240301 00:00:00,581
48,20240401 00:00:00,220
48,20240501 00:00:00,281
48,20240601 00:00:00,80
48,20240701 00:00:00,178
47,20240801 00:00:00,470
47,20240901 00:00:00,347
47,20241001 00:00:00,190
47,20241201 00:00:00,798
47,20250101 00:00:00,140
47,20230901 00:00:00,439.56
47,20231001 00:00:00,295
47,20231101 00:00:00,163
47,20231201 00:00:00,156
47,20240101 00:00:00,1088
47,20240201 00:00:00,165
47,20240301 00:00:00,286
47,20240401 00:00:00,168
47,20240501 00:00:00,251
47,20240601 00:00:00,0
47,20240801 00:00:00,551
47,20240901 00:00:00,203
47,20241001 00:00:00,173
47,20241101 00:00:00,370
46,20241201 00:00:00,172
46,20250101 00:00:00,425
46,20230801 00:00:00,316
46,20231001 00:00:00,554
46,20231101 00:00:00,499
45,20231201 00:00:00,267
45,20240101 00:00:00,542
45,20240301 00:00:00,328
45,20240501 00:00:00,213
45,20240601 00:00:00,436
45,20240701 00:00:00,157
45,20240801 00:00:00,460
45,20241001 00:00:00,0
45,20241101 00:00:00,683
45,20241201 00:00:00,401
45,20231201 00:00:00,140
45,20240101 00:00:00,415
45,20240201 00:00:00,0
45,20240301 00:00:00,180
45,20240401 00:00:00,490
45,20240501 00:00:00,232
45,20240601 00:00:00,604
45,20240701 00:00:00,342
45,20240801 00:00:00,870
44,20240901 00:00:00,465
44,20241001 00:00:00,245
44,20241101 00:00:00,264
44,20241201 00:00:00,577
44,20240101 00:00:00,207
44,20240201 00:00:00,461
44,20240301 00:00:00,543
44,20240401 00:00:00,490
44,20240501 00:00:00,466
44,20240701 00:00:00,170
44,20240801 00:00:00,578
44,20240901 00:00:00,697
44,20241001 00:00:00,491
44,20241101 00:00:00,528
44,20241201 00:00:00,0
44,20230901 00:00:00,387.65
44,20231001 00:00:00,290
43,20231101 00:00:00,140
43,20231201 00:00:00,176
43,20240101 00:00:00,232
43,20240201 00:00:00,628
43,20240301 00:00:00,388
43,20240401 00:00:00,220
43,20240501 00:00:00,280
42,20240601 00:00:00,80
42,20240701 00:00:00,178
42,20240901 00:00:00,347
42,20241001 00:00:00,190
42,20241201 00:00:00,798
42,20250101 00:00:00,279
42,20230901 00:00:00,490.65
42,20231001 00:00:00,146
42,20231101 00:00:00,140
42,20231201 00:00:00,530
42,20240101 00:00:00,464
42,20240201 00:00:00,0
42,20240301 00:00:00,193
41,20240401 00:00:00,221
41,20240501 00:00:00,563
41,20240601 00:00:00,80
41,20240701 00:00:00,178
41,20240801 00:00:00,235
41,20240901 00:00:00,174
41,20241001 00:00:00,190
41,20241201 00:00:00,786
41,20250101 00:00:00,140
41,20230301 00:00:00,280
41,20230401 00:00:00,86.66
41,20230501 00:00:00,601
40,20230601 00:00:00,250
40,20230701 00:00:00,249
40,20230801 00:00:00,144
40,20230901 00:00:00,593.65
40,20231001 00:00:00,146
40,20231101 00:00:00,0
40,20231201 00:00:00,176
40,20240101 00:00:00,232
39,20240201 00:00:00,0
39,20240301 00:00:00,0
39,20240401 00:00:00,220
39,20240501 00:00:00,280
39,20240601 00:00:00,80
39,20240701 00:00:00,178
39,20240801 00:00:00,235
39,20240901 00:00:00,174
39,20241001 00:00:00,0
39,20241201 00:00:00,528
39,20250101 00:00:00,0
39,20230901 00:00:00,245.33
39,20231001 00:00:00,436
38,20231101 00:00:00,280
38,20231201 00:00:00,176
38,20240101 00:00:00,232
38,20240201 00:00:00,210
38,20240301 00:00:00,388
38,20240401 00:00:00,221
38,20240501 00:00:00,563
38,20240601 00:00:00,80
38,20240701 00:00:00,178
38,20240801 00:00:00,235
38,20240901 00:00:00,174
38,20241001 00:00:00,190
38,20241201 00:00:00,539
37,20250101 00:00:00,140
37,20231201 00:00:00,176
37,20240101 00:00:00,232
37,20240201 00:00:00,419
37,20240301 00:00:00,193
37,20240401 00:00:00,441
37,20240501 00:00:00,281
37,20240601 00:00:00,80
37,20240701 00:00:00,177
37,20240801 00:00:00,472
37,20240901 00:00:00,348
37,20241001 00:00:00,377
37,20241201 00:00:00,797
37,20250101 00:00:00,279
37,20240101 00:00:00,207
37,20240201 00:00:00,460
37,20240301 00:00:00,180
37,20240401 00:00:00,244
37,20240501 00:00:00,466
36,20240601 00:00:00,604
36,20240701 00:00:00,342
36,20240801 00:00:00,289
36,20240901 00:00:00,465
36,20241001 00:00:00,491
36,20241101 00:00:00,264
36,20241201 00:00:00,192
36,20230801 00:00:00,632
36,20230901 00:00:00,329.67
36,20231001 00:00:00,290
36,20231101 00:00:00,140
36,20231201 00:00:00,176
36,20240101 00:00:00,464
36,20240201 00:00:00,419
36,20240301 00:00:00,193
36,20240401 00:00:00,220
35,20240501 00:00:00,563
35,20240601 00:00:00,80
35,20240701 00:00:00,178
35,20241001 00:00:00,0
35,20241201 00:00:00,517
35,20250101 00:00:00,0
35,20240101 00:00:00,813
35,20240301 00:00:00,492
35,20240501 00:00:00,427
35,20240601 00:00:00,218
35,20240701 00:00:00,313
35,20240801 00:00:00,682
35,20241001 00:00:00,213
35,20241101 00:00:00,228
35,20241201 00:00:00,802
35,20230801 00:00:00,474
35,20231001 00:00:00,368
35,20231101 00:00:00,167
35,20231201 00:00:00,267
34,20240101 00:00:00,272
34,20240301 00:00:00,328
34,20240501 00:00:00,641
34,20240601 00:00:00,218
34,20240701 00:00:00,157
34,20240801 00:00:00,228
34,20241001 00:00:00,426
34,20241101 00:00:00,229
34,20241201 00:00:00,401
34,20230701 00:00:00,124
34,20230801 00:00:00,631
34,20230901 00:00:00,109.89
34,20231001 00:00:00,400
34,20231101 00:00:00,163
34,20231201 00:00:00,312
34,20240101 00:00:00,255
34,20240201 00:00:00,332
34,20240301 00:00:00,143
34,20240401 00:00:00,338
33,20240501 00:00:00,251
33,20240601 00:00:00,0
33,20240801 00:00:00,127
33,20241001 00:00:00,172
33,20241101 00:00:00,185
33,20241201 00:00:00,173
33,20250101 00:00:00,425
33,20230701 00:00:00,124
33,20230801 00:00:00,448
33,20230901 00:00:00,329.67
33,20231001 00:00:00,145
33,20231101 00:00:00,163
33,20231201 00:00:00,155
33,20240101 00:00:00,255
33,20240201 00:00:00,166
33,20240301 00:00:00,143
33,20240401 00:00:00,168
33,20240501 00:00:00,251
33,20240601 00:00:00,178
32,20240801 00:00:00,276
32,20240901 00:00:00,203
32,20241001 00:00:00,172
32,20241101 00:00:00,371
32,20241201 00:00:00,172
32,20250101 00:00:00,212
32,20231201 00:00:00,140
32,20240101 00:00:00,415
32,20240201 00:00:00,0
32,20240301 00:00:00,360
32,20240401 00:00:00,244
32,20240501 00:00:00,466
32,20240701 00:00:00,342
32,20240801 00:00:00,578
32,20240901 00:00:00,232
32,20241001 00:00:00,491
32,20241101 00:00:00,264
32,20241201 00:00:00,385
31,20230801 00:00:00,158
31,20231001 00:00:00,368
31,20231101 00:00:00,166
31,20231201 00:00:00,534
31,20240101 00:00:00,542
31,20240301 00:00:00,492
31,20240501 00:00:00,427
31,20240601 00:00:00,218
31,20240701 00:00:00,313
31,20240801 00:00:00,228
31,20241001 00:00:00,0
31,20241101 00:00:00,456
31,20241201 00:00:00,0
31,20231001 00:00:00,368
31,20231101 00:00:00,166
31,20231201 00:00:00,534
31,20240101 00:00:00,542
31,20240301 00:00:00,328
30,20240501 00:00:00,428
30,20240601 00:00:00,0
30,20240701 00:00:00,156
30,20240801 00:00:00,228
30,20241001 00:00:00,213
30,20241101 00:00:00,456
30,20241201 00:00:00,401
30,20240101 00:00:00,207
30,20240201 00:00:00,230
30,20240301 00:00:00,180
30,20240401 00:00:00,490
30,20240501 00:00:00,698
30,20240601 00:00:00,302
30,20240701 00:00:00,170
30,20240801 00:00:00,289
29,20240901 00:00:00,232
29,20241001 00:00:00,491
29,20241101 00:00:00,528
29,20241201 00:00:00,0
29,20230301 00:00:00,458
29,20230601 00:00:00,324
29,20230701 00:00:00,498
29,20230801 00:00:00,430
29,20240301 00:00:00,143
29,20240401 00:00:00,168
29,20240501 00:00:00,252
28,20240601 00:00:00,0
28,20240801 00:00:00,259
28,20241001 00:00:00,173
28,20241101 00:00:00,185
28,20241201 00:00:00,690
28,20250101 00:00:00,212
28,20230901 00:00:00,127.55
28,20231001 00:00:00,250
28,20231101 00:00:00,435
28,20231201 00:00:00,288
28,20240101 00:00:00,207
28,20240201 00:00:00,230
28,20240301 00:00:00,0
28,20240401 00:00:00,244
28,20240501 00:00:00,0
28,20240601 00:00:00,302
28,20240701 00:00:00,342
28,20240801 00:00:00,578
27,20240901 00:00:00,232
27,20241001 00:00:00,246
27,20241101 00:00:00,264
27,20241201 00:00:00,0
27,20240101 00:00:00,207
27,20240201 00:00:00,230
27,20240301 00:00:00,180
27,20240401 00:00:00,244
27,20240501 00:00:00,466
27,20240601 00:00:00,300
27,20240701 00:00:00,342
27,20240801 00:00:00,289
27,20240901 00:00:00,465
27,20241001 00:00:00,491
27,20241101 00:00:00,528
27,20241201 00:00:00,0
27,20230801 00:00:00,632
27,20231001 00:00:00,552
26,20231101 00:00:00,166
26,20231201 00:00:00,267
26,20240101 00:00:00,272
26,20240301 00:00:00,164
26,20240501 00:00:00,214
26,20240601 00:00:00,218
26,20240701 00:00:00,468
26,20240801 00:00:00,228
26,20241001 00:00:00,426
26,20241101 00:00:00,0
26,20240601 00:00:00,354
26,20240801 00:00:00,551
26,20240901 00:00:00,484
26,20241001 00:00:00,346
26,20241101 00:00:00,370
25,20241201 00:00:00,517
25,20250101 00:00:00,793
25,20231201 00:00:00,140
25,20240101 00:00:00,415
25,20240201 00:00:00,0
25,20240301 00:00:00,360
25,20240401 00:00:00,244
25,20240501 00:00:00,232
25,20240601 00:00:00,604
25,20240701 00:00:00,170
25,20240801 00:00:00,289
25,20240901 00:00:00,232
25,20241001 00:00:00,246
25,20241101 00:00:00,264
25,20241201 00:00:00,192
25,20230901 00:00:00,387.65
25,20231001 00:00:00,290
25,20231101 00:00:00,0
25,20231201 00:00:00,176
24,20240101 00:00:00,696
24,20240201 00:00:00,628
24,20240301 00:00:00,0
24,20240501 00:00:00,281
24,20240601 00:00:00,80
24,20240701 00:00:00,178
24,20240801 00:00:00,235
24,20240901 00:00:00,0
24,20241001 00:00:00,0
24,20241201 00:00:00,269
24,20250101 00:00:00,140
24,20240101 00:00:00,541
24,20240301 00:00:00,165
24,20240501 00:00:00,427
24,20240601 00:00:00,218
23,20240701 00:00:00,157
23,20240801 00:00:00,455
23,20241001 00:00:00,426
23,20241101 00:00:00,456
23,20241201 00:00:00,401
23,20240101 00:00:00,271
23,20240301 00:00:00,328
23,20240501 00:00:00,428
23,20240601 00:00:00,218
23,20240801 00:00:00,460
23,20241001 00:00:00,639
23,20241101 00:00:00,456
23,20241201 00:00:00,401
23,20231201 00:00:00,178
23,20240101 00:00:00,696
23,20240201 00:00:00,209
23,20240301 00:00:00,387
23,20240501 00:00:00,281
23,20240601 00:00:00,80
22,20240801 00:00:00,472
22,20240901 00:00:00,0
22,20241001 00:00:00,190
22,20241201 00:00:00,269
22,20250101 00:00:00,418
22,20240601 00:00:00,532
22,20240801 00:00:00,827
22,20240901 00:00:00,484
22,20241001 00:00:00,346
22,20241101 00:00:00,185
22,20241201 00:00:00,345
22,20250101 00:00:00,396
21,20230901 00:00:00,593.65
21,20231001 00:00:00,146
21,20231101 00:00:00,140
21,20231201 00:00:00,176
21,20240101 00:00:00,696
21,20240201 00:00:00,210
21,20240301 00:00:00,0
21,20240501 00:00:00,280
21,20240601 00:00:00,80
21,20240701 00:00:00,178
21,20240901 00:00:00,0
21,20241001 00:00:00,190
21,20241201 00:00:00,269
21,20250101 00:00:00,140
21,20230901 00:00:00,632.98
21,20231001 00:00:00,145
21,20231101 00:00:00,140
21,20231201 00:00:00,176
21,20240101 00:00:00,464
20,20240201 00:00:00,0
20,20240301 00:00:00,0
20,20240501 00:00:00,281
20,20240601 00:00:00,80
20,20240701 00:00:00,178
20,20240901 00:00:00,0
20,20241001 00:00:00,190
20,20241201 00:00:00,528
20,20250101 00:00:00,140
20,20230801 00:00:00,158
20,20231001 00:00:00,184
20,20231101 00:00:00,166
20,20231201 00:00:00,267
20,20240101 00:00:00,0
20,20240301 00:00:00,164
20,20240501 00:00:00,0
19,20240601 00:00:00,436
19,20240701 00:00:00,157
19,20240801 00:00:00,228
19,20241001 00:00:00,426
19,20241101 00:00:00,228
19,20241201 00:00:00,401
19,20240101 00:00:00,541
19,20240301 00:00:00,329
19,20240501 00:00:00,213
19,20240601 00:00:00,218
19,20240801 00:00:00,228
19,20241001 00:00:00,426
18,20241101 00:00:00,456
18,20241201 00:00:00,401
18,20240601 00:00:00,531
18,20240801 00:00:00,259
18,20240901 00:00:00,406
18,20241001 00:00:00,172
18,20241101 00:00:00,370
18,20241201 00:00:00,173
18,20250101 00:00:00,793
18,20231201 00:00:00,180
18,20240101 00:00:00,0
18,20240201 00:00:00,419
18,20240301 00:00:00,193
18,20240401 00:00:00,220
18,20240501 00:00:00,281
18,20240601 00:00:00,80
18,20240701 00:00:00,178
18,20240901 00:00:00,521
18,20241001 00:00:00,190
17,20241201 00:00:00,269
17,20250101 00:00:00,140
17,20240601 00:00:00,178
17,20240801 00:00:00,551
17,20240901 00:00:00,484
17,20241001 00:00:00,346
17,20241101 00:00:00,370
17,20241201 00:00:00,345
17,20250101 00:00:00,396
17,20240601 00:00:00,353
17,20240801 00:00:00,259
17,20240901 00:00:00,726
17,20241001 00:00:00,172
17,20241101 00:00:00,370
17,20241201 00:00:00,345
17,20250101 00:00:00,396
17,20230901 00:00:00,127.52
17,20231001 00:00:00,0
17,20231101 00:00:00,0
16,20231201 00:00:00,0
16,20240101 00:00:00,0
16,20240201 00:00:00,0
16,20240301 00:00:00,180
16,20240401 00:00:00,0
16,20240501 00:00:00,232
16,20240601 00:00:00,604
16,20240701 00:00:00,170
16,20240901 00:00:00,232
16,20241001 00:00:00,491
16,20241101 00:00:00,529
16,20241201 00:00:00,0
16,20240501 00:00:00,466
16,20240601 00:00:00,302
16,20240701 00:00:00,342
16,20240801 00:00:00,578
15,20240901 00:00:00,232
15,20241001 00:00:00,246
15,20241101 00:00:00,264
15,20241201 00:00:00,0
15,20230901 00:00:00,306.79
15,20231001 00:00:00,0
15,20231101 00:00:00,0
15,20231201 00:00:00,0
15,20240101 00:00:00,0
15,20240201 00:00:00,460
15,20240301 00:00:00,180
15,20240401 00:00:00,0
15,20240501 00:00:00,466
15,20240601 00:00:00,302
15,20240701 00:00:00,170
15,20240901 00:00:00,232
14,20241001 00:00:00,246
14,20241101 00:00:00,0
14,20241201 00:00:00,0
14,20240601 00:00:00,354
14,20240801 00:00:00,259
14,20240901 00:00:00,406
14,20241001 00:00:00,346
14,20241101 00:00:00,370
14,20241201 00:00:00,172
14,20250101 00:00:00,397
14,20240601 00:00:00,354
14,20240801 00:00:00,129
14,20240901 00:00:00,242
14,20241101 00:00:00,370
14,20241201 00:00:00,0
14,20250101 00:00:00,1189
14,20240601 00:00:00,354
14,20240801 00:00:00,258
14,20240901 00:00:00,243
13,20241001 00:00:00,172
13,20241101 00:00:00,370
13,20241201 00:00:00,345
13,20250101 00:00:00,396
13,20240601 00:00:00,216
13,20240701 00:00:00,469
13,20241001 00:00:00,639
13,20241101 00:00:00,0
13,20241201 00:00:00,802
13,20240601 00:00:00,80
13,20240801 00:00:00,475
13,20240901 00:00:00,347
12,20241001 00:00:00,377
12,20241201 00:00:00,539
12,20250101 00:00:00,279
12,20240501 00:00:00,466
12,20240601 00:00:00,302
12,20240801 00:00:00,289
12,20240901 00:00:00,232
12,20241001 00:00:00,246
12,20241101 00:00:00,528
12,20241201 00:00:00,0
12,20240601 00:00:00,354
12,20240801 00:00:00,129
12,20240901 00:00:00,242
12,20241001 00:00:00,172
12,20241101 00:00:00,370
12,20241201 00:00:00,345
12,20250101 00:00:00,396
11,20240601 00:00:00,354
11,20240801 00:00:00,551
11,20240901 00:00:00,0
11,20241001 00:00:00,346
11,20241101 00:00:00,185
11,20241201 00:00:00,172
11,20250101 00:00:00,396
11,20240601 00:00:00,80
11,20240701 00:00:00,534
11,20240801 00:00:00,472
11,20240901 00:00:00,174
11,20241001 00:00:00,190
11,20241201 00:00:00,269
10,20250101 00:00:00,279
10,20240601 00:00:00,80
10,20240801 00:00:00,472
10,20240901 00:00:00,174
10,20241001 00:00:00,377
10,20241201 00:00:00,798
10,20250101 00:00:00,0
10,20240601 00:00:00,354
10,20240801 00:00:00,279
10,20240901 00:00:00,243
10,20241001 00:00:00,173
10,20241101 00:00:00,185
10,20241201 00:00:00,172
10,20250101 00:00:00,396
10,20231001 00:00:00,185
9,20231101 00:00:00,166
9,20231201 00:00:00,267
9,20240101 00:00:00,0
9,20240301 00:00:00,0
9,20240501 00:00:00,213
9,20240601 00:00:00,435
9,20240801 00:00:00,228
9,20241001 00:00:00,0
9,20241101 00:00:00,228
9,20240601 00:00:00,80
9,20240801 00:00:00,235
9,20240901 00:00:00,347
9,20241001 00:00:00,377
7,20241201 00:00:00,528
7,20250101 00:00:00,140
7,20240601 00:00:00,80
7,20240801 00:00:00,235
7,20240901 00:00:00,174
7,20241001 00:00:00,377
7,20241201 00:00:00,538
7,20250101 00:00:00,279
7,20240601 00:00:00,178
7,20240801 00:00:00,275
7,20241001 00:00:00,173
7,20241101 00:00:00,0
7,20241201 00:00:00,172
6,20250101 00:00:00,793
6,20240601 00:00:00,436
6,20240701 00:00:00,156
6,20240801 00:00:00,228
6,20241001 00:00:00,0
6,20241101 00:00:00,684
6,20241201 00:00:00,0
6,20240601 00:00:00,178
6,20240801 00:00:00,129
6,20240901 00:00:00,242
5,20241001 00:00:00,172
5,20241101 00:00:00,185
5,20241201 00:00:00,172
5,20250101 00:00:00,396
5,20240601 00:00:00,80
5,20240801 00:00:00,240
5,20240901 00:00:00,347
5,20241001 00:00:00,0
5,20241201 00:00:00,539
5,20250101 00:00:00,140
5,20240601 00:00:00,215
5,20241001 00:00:00,213
5,20241101 00:00:00,456
4,20241201 00:00:00,401
4,20240601 00:00:00,177
4,20240801 00:00:00,127
4,20240901 00:00:00,203
