LOCAL,DATA,VALOR
145,20231101 00:00:00,488
145,20231201 00:00:00,156
145,20240101 00:00:00,1114
145,20240201 00:00:00,165
145,20240301 00:00:00,430
145,20240401 00:00:00,505
145,20240501 00:00:00,753
145,20240601 00:00:00,532
145,20240801 00:00:00,828
145,20240901 00:00:00,406
145,20241001 00:00:00,346
145,20241101 00:00:00,185
145,20241201 00:00:00,345
145,20250101 00:00:00,425
145,20230401 00:00:00,86.67
145,20230501 00:00:00,601
144,20230601 00:00:00,170
144,20230701 00:00:00,250
144,20230801 00:00:00,430
144,20230901 00:00:00,593.65
144,20231001 00:00:00,580
144,20231101 00:00:00,420
144,20231201 00:00:00,706
144,20240101 00:00:00,464
144,20240201 00:00:00,210
144,20240301 00:00:00,582
144,20240401 00:00:00,881
144,20240501 00:00:00,842
144,20240601 00:00:00,80
144,20240701 00:00:00,356
144,20240901 00:00:00,347
144,20241001 00:00:00,377
144,20241201 00:00:00,798
144,20250101 00:00:00,279
144,20230401 00:00:00,86.67
144,20230501 00:00:00,480
144,20230801 00:00:00,102
143,20230901 00:00:00,329.67
143,20231001 00:00:00,584
143,20231101 00:00:00,488
143,20231201 00:00:00,622
143,20240101 00:00:00,1248
143,20240201 00:00:00,165
143,20240301 00:00:00,572
143,20240401 00:00:00,674
143,20240501 00:00:00,502
143,20240601 00:00:00,178
143,20240801 00:00:00,387
143,20240901 00:00:00,406
143,20241001 00:00:00,518
143,20241101 00:00:00,370
143,20241201 00:00:00,690
143,20250101 00:00:00,637
143,20230501 00:00:00,161
143,20230601 00:00:00,170
143,20230701 00:00:00,617
143,20230901 00:00:00,840.3
143,20231001 00:00:00,257
142,20231101 00:00:00,646
142,20231201 00:00:00,288
142,20240101 00:00:00,1198
142,20240201 00:00:00,230
142,20240301 00:00:00,0
142,20240401 00:00:00,0
142,20240501 00:00:00,698
142,20240601 00:00:00,906
142,20240701 00:00:00,170
142,20240801 00:00:00,578
142,20240901 00:00:00,465
142,20241001 00:00:00,736
142,20241101 00:00:00,793
142,20241201 00:00:00,192
142,20230501 00:00:00,800
142,20230601 00:00:00,260
142,20230701 00:00:00,778
142,20230901 00:00:00,949.4
142,20231001 00:00:00,515
142,20231101 00:00:00,434
142,20231201 00:00:00,432
141,20240101 00:00:00,624
141,20240201 00:00:00,460
141,20240301 00:00:00,360
141,20240401 00:00:00,244
141,20240501 00:00:00,232
141,20240601 00:00:00,600
141,20240701 00:00:00,170
141,20240801 00:00:00,289
141,20240901 00:00:00,697
141,20241001 00:00:00,246
141,20241101 00:00:00,793
141,20241201 00:00:00,0
141,20230301 00:00:00,280
141,20230401 00:00:00,86.67
141,20230501 00:00:00,480
141,20230601 00:00:00,248
141,20230701 00:00:00,374
141,20230801 00:00:00,246
141,20230901 00:00:00,329.67
140,20231001 00:00:00,438
140,20231101 00:00:00,650
140,20231201 00:00:00,156
140,20240101 00:00:00,1146
140,20240201 00:00:00,331
140,20240301 00:00:00,572
140,20240401 00:00:00,674
140,20240501 00:00:00,252
140,20240601 00:00:00,354
140,20240801 00:00:00,386
140,20241001 00:00:00,518
140,20241101 00:00:00,370
140,20241201 00:00:00,690
140,20250101 00:00:00,213
140,20230301 00:00:00,280
140,20230401 00:00:00,86.66
140,20230501 00:00:00,601
140,20230601 00:00:00,95
140,20230701 00:00:00,249
140,20230801 00:00:00,430
139,20230901 00:00:00,593.65
139,20231001 00:00:00,580
139,20231101 00:00:00,420
139,20231201 00:00:00,0
139,20240101 00:00:00,1099
139,20240201 00:00:00,419
139,20240301 00:00:00,388
139,20240401 00:00:00,441
139,20240501 00:00:00,280
139,20240601 00:00:00,80
139,20240701 00:00:00,178
139,20240801 00:00:00,472
139,20240901 00:00:00,347
139,20241001 00:00:00,377
139,20241201 00:00:00,1056
139,20250101 00:00:00,279
138,20230901 00:00:00,777.14
138,20231001 00:00:00,950
138,20231101 00:00:00,1738
138,20231201 00:00:00,574
138,20240101 00:00:00,830
138,20240201 00:00:00,461
138,20240301 00:00:00,543
138,20240401 00:00:00,244
138,20240501 00:00:00,232
138,20240701 00:00:00,343
138,20240801 00:00:00,289
138,20240901 00:00:00,697
138,20241001 00:00:00,736
138,20241101 00:00:00,264
138,20241201 00:00:00,0
138,20230501 00:00:00,601
138,20230601 00:00:00,170
138,20230701 00:00:00,250
138,20230801 00:00:00,287
138,20230901 00:00:00,452.33
137,20231001 00:00:00,436
137,20231101 00:00:00,560
137,20231201 00:00:00,706
137,20240101 00:00:00,1547
137,20240201 00:00:00,419
137,20240301 00:00:00,582
137,20240401 00:00:00,661
137,20240501 00:00:00,562
137,20240601 00:00:00,80
137,20240801 00:00:00,235
137,20240901 00:00:00,347
137,20241001 00:00:00,190
137,20241201 00:00:00,269
137,20250101 00:00:00,279
137,20230901 00:00:00,838.98
137,20231001 00:00:00,290
137,20231101 00:00:00,420
137,20231201 00:00:00,0
137,20240101 00:00:00,696
137,20240201 00:00:00,628
137,20240301 00:00:00,388
137,20240401 00:00:00,443
136,20240501 00:00:00,843
136,20240601 00:00:00,80
136,20240701 00:00:00,534
136,20240801 00:00:00,708
136,20240901 00:00:00,347
136,20241001 00:00:00,377
136,20241201 00:00:00,1584
136,20250101 00:00:00,418
136,20230701 00:00:00,124
136,20230801 00:00:00,448
136,20230901 00:00:00,439.56
136,20231001 00:00:00,585
136,20231101 00:00:00,0
136,20231201 00:00:00,0
136,20240101 00:00:00,1386
136,20240201 00:00:00,166
136,20240301 00:00:00,572
136,20240401 00:00:00,674
