Unnamed: 0;PEV;Cidade;Endereço;Ponto de Referência;CidadeExtraida;Endereço2;latitude;longitude
68;PEV  69;PEV 69  ANITÁPOLIS;Rua Emilio Pedro Beppler, 782 - SC – 281 nº 37;Bar e Lanchonete Vila Nova - Instalado em Abril 2024;ANITÁPOLIS;ANITÁPOLIS, Rua Emilio Pedro Beppler, 782 - SC – 281 nº 37;-27.513582;-49.4001579
69;PEV  70;PEV 70  ALFREDO WAGNER;Rua Projetada Dois, 56;Colocar na rua na vaga de carro - Instalado em Dezembro 2023;ALFREDO WAGNER;ALFREDO WAGNER, Rua Projetada Dois, 56;-27.6996765;-49.3344838
70;PEV  71;PEV 71  PALHOÇA;Rodovia Evadio Paulo  Broering S/N - Esquina com Rua Hortêncio Pedro Antunes - Praia da Pinheira.;;PALHOÇA;PALHOÇA, Rodovia Evadio Paulo  Broering S/N - Esquina com Rua Hortêncio Pedro Antunes - Praia da Pinheira.;-27.8651203;-48.6022475
71;PEV  72;PEV 72  PALHOÇA;Avenida Cárdida F.  da Rosa, 581 - Pinheira;Legendário Moto clube - Colocar na rua - Instalado em Dezembro 2023;PALHOÇA;PALHOÇA, Avenida Cárdida F.  da Rosa, 581 - Pinheira;-27.8597453;-48.6028663
72;PEV  73;PEV 73  PALHOÇA;Av.do Papagaio, 362 - ; Rotula com Rodovia Evádio Paulo Broering, 973 - Praia Ponta dos Papagaio;PALHOÇA;PALHOÇA, Av.do Papagaio, 362 -;-27.845381;-48.5882903
73;PEV  74;PEV 74  PALHOÇA;Rodovia Evadio Paulo Broering, 2799 ;Posto do sonho - Ipiranga - Praia do sonho ;PALHOÇA;PALHOÇA, Rodovia Evadio Paulo Broering, 2799;-27.8322616;-48.5953349
74;PEV  75;PEV 75  PALHOÇA;Avenida José Bonifácio – Praia do Pontal;Praça do Pontal - Instalado em Dezembro 2023;PALHOÇA;PALHOÇA, Avenida José Bonifácio – Praia do Pontal;-27.7163937;-48.6434201
75;PEV  76;PEV 76  PALHOÇA;Rua Hercílio Nicolau dos Santos, 725 – Esquina com José Plácido Martins, 714;Guarda Do Embaú;PALHOÇA;PALHOÇA, Rua Hercílio Nicolau dos Santos, 725 – Esquina com José Plácido Martins, 714;-27.9016187;-48.5963831
76;PEV  77;PEV 77  PALHOÇA;Rua Monte Cambirela, 364;Em frente ao supermercado dona Bela -ia de Fora;PALHOÇA;PALHOÇA, Rua Monte Cambirela, 364;-27.7511452;-48.6292367
77;PEV  78;PEV 78  PALHOÇA;Avenida Pedra Branca, 1022 - Pedra Branca;Entre Restaurante Tosh e Imobiliária Roque;PALHOÇA;PALHOÇA, Avenida Pedra Branca, 1022 - Pedra Branca;-27.6245939;-48.6795223
78;PEV  79;PEV 79  PALHOÇA;Rua José Maria da Luz, 220;Praça 7 de Setembro - Colocar Ao lado do contentor ;PALHOÇA;PALHOÇA, Rua José Maria da Luz, 220;-27.6461261;-48.6664784
79;PEV  80;PEV 80  PALHOÇA;Rua Brusque, 19;Centro de Saúde Vila Nova - Barra do Aririu;PALHOÇA;PALHOÇA, Rua Brusque, 19;-27.683604;-48.6554481
80;PEV  81;PEV 81  PALHOÇA;Rua Manoel Matins, 49 ;Praia da Pinheira;PALHOÇA;PALHOÇA, Rua Manoel Matins, 49;-27.705653;-48.652939
81;PEV  82;PEV 82  PALHOÇA;Rua Roberto Sell, 52;Supermercados Santos;PALHOÇA;PALHOÇA, Rua Roberto Sell, 52;-27.6568152;-48.6729074
82;PEV  83;PEV 83  PALHOÇA;Av. Prefeito Nelson Martins, 1623;Ginásio de Esportes João Ivo Martins ;PALHOÇA;PALHOÇA, Av. Prefeito Nelson Martins, 1623;-27.6529498;-48.6724547
83;PEV  84;PEV 84  PALHOÇA;Rua Caetano da Silveira de Matos, 2620 ; Ao lado do Mercado Municipal da Palhoça;PALHOÇA;PALHOÇA, Rua Caetano da Silveira de Matos, 2620;-27.6439698;-48.6650637
84;PEV  85;PEV 85  PALHOÇA;Rua Vilma Ramos de Souza, 45;Praça Quinze de Novembro - Esquina com ruas  Tenente Francisco Lehmkhul e João Born;PALHOÇA;PALHOÇA, Rua Vilma Ramos de Souza, 45;-27.6415703;-48.6639941
85;PEV  86;PEV 86  PALHOÇA;Rua Mil Quinhentos e Nove – Enseada do Brito;Em frente à Igreja;PALHOÇA;PALHOÇA, Rua Mil Quinhentos e Nove – Enseada do Brito;-27.7792055;-48.6326147
86;PEV  87;PEV 87  PALHOÇA;Rua Antonio Vieira, 550 ;AERPI – Associação Esportiva e Recreativa Ponte de Imaruim;PALHOÇA;PALHOÇA, Rua Antonio Vieira, 550;-27.633423;-48.6536997
