Unnamed: 0;PEV;Cidade;Endereço;Ponto de Referência;CidadeExtraida;Endereço2;latitude;longitude
147;PEV  148;PEV 148  SÃO JOSÉ;Rua Capitão Pedro Leite, 310 ;Esquina com Rua Me. Flávia Andretti,343 - Colegio Elisa Andreoli;SÃO JOSÉ;SÃO JOSÉ, Rua Capitão Pedro Leite, 310;-27.5727965;-48.6081869
148;PEV  149;PEV 149  SÃO JOSÉ;Rua Cel Américo, 217 - Barreiros;Esquina Laudelino Souza Filho - Colocar em uma vaga de carro;SÃO JOSÉ;SÃO JOSÉ, Rua Cel Américo, 217 - Barreiros;-27.5745747;-48.6029715
149;PEV  150;PEV 150  SÃO JOSÉ;Rua Altamiro di Bernardi, 51 ;Praça José Jordino de Sousa - Campinas;SÃO JOSÉ;SÃO JOSÉ, Rua Altamiro di Bernardi, 51;-27.5985904;-48.60741
150;PEV  151;PEV 151  SÃO JOSÉ;Rua Osni João Vieira, 431 ; UBS Policlínica de Campinas - Esquina com Rua Jorge Lacerda - Campinas;SÃO JOSÉ;SÃO JOSÉ, Rua Osni João Vieira, 431;-27.5957474;-48.6082282
151;PEV  152;PEV 152  SÃO JOSÉ;Avenida Leoberto Leal, 957;Praça de Barreiros- Em frente Auto Center Cabral Esquina com Rua Antônio Basil Schoreder, 7;SÃO JOSÉ;SÃO JOSÉ, Avenida Leoberto Leal, 957;-27.5690571;-48.6087246
152;PEV  153;PEV 153  SÃO JOSÉ;Av. Osvaldo José do Amaral. 4476  ;  Supermercdos BISTEK - Av. das Torres ;SÃO JOSÉ;SÃO JOSÉ, Av. Osvaldo José do Amaral. 4476;-27.5755984;-48.6250741
153;PEV  154;PEV 154  SÃO JOSÉ;Rua 13 de Julho, 497 - Flor de Nápolis;Praça Oscar Melo - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua 13 de Julho, 497 - Flor de Nápolis;-27.6049527;-48.64200109999999
154;PEV  155;PEV 155  SÃO JOSÉ;Rua Princesa Isabel, 275 – Praça C. H. Forquilhinhas;Ao lado do Ecoponto - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Princesa Isabel, 275 – Praça C. H. Forquilhinhas;-27.6000542;-48.6449061
155;PEV  156;PEV 156  SÃO JOSÉ;Rua Profª Regina M. Da Silva Waltric, 332 - Serraria;Praça Rio Três Henriques;SÃO JOSÉ;SÃO JOSÉ, Rua Profª Regina M. Da Silva Waltric, 332 - Serraria;-27.5506457;-48.6242217
156;PEV  157;PEV 157  SÃO JOSÉ;Rua Gentil Sandim, 43 - Praia Comprida;Em frete número 43 , vaga de carro. INSTALAR;SÃO JOSÉ;SÃO JOSÉ, Rua Gentil Sandim, 43 - Praia Comprida;-27.604145;-48.627359
157;PEV  158;PEV 158  SÃO JOSÉ;Avenida Lisboa, 866 - Forquilhinhas;Praça Lisboa – Skate Plaza - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Avenida Lisboa, 866 - Forquilhinhas;-27.5776656;-48.6679775
158;PEV  159;PEV 159 SÃO JOSÉ;Rua Vereador Arthur Manoel Mariano, 1515 - Forquilhinhas; Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Vereador Arthur Manoel Mariano, 1515 - Forquilhinhas;-27.5961818;-48.64384159999999
159;PEV  160;PEV 160  SÃO JOSÉ;Rua Tiradentes, 34 - Kobrasol;Esquina com Rua Jaime Arruda Ramos - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Tiradentes, 34 - Kobrasol;-27.5989642;-48.6163162
160;PEV  161;PEV 161  SÃO JOSÉ;Rua Antônio Alfredo da Silva, 761 - Fazenda Santo Antônio; Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Antônio Alfredo da Silva, 761 - Fazenda Santo Antônio;-27.6199152;-48.6389425
161;PEV  162;PEV 162  SÃO JOSÉ;Rua Getúlio Vargas, 671 - Centro;Referência – Clube Mare Alta -  Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Getúlio Vargas, 671 - Centro;-27.609257;-48.628253
162;PEV  163;PEV 163  SÃO JOSÉ;Rua Coletor Irineu Comeli, 707 - Centro;Esquina com Rua Adélia Schroeder Pontes, 101 - INSTALAR;SÃO JOSÉ;SÃO JOSÉ, Rua Coletor Irineu Comeli, 707 - Centro;-27.6140992;-48.6313673
163;PEV  164;PEV 164  SÃO JOSÉ;Rua Osvaldo Corrêa de Andrade, 274 - Floresta;Esquina Rua Dorval da Silva – Usar Vaga de carro - Ponto de Referência – Combo Atacadista   Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Osvaldo Corrêa de Andrade, 274 - Floresta;-27.5780539;-48.615258
164;PEV  165;PEV 165  SÃO JOSÉ;Rua João José Martins, 598 - Real Parque;Ponto de Referência – Komprão Koch Atacadista -  Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua João José Martins, 598 - Real Parque;-27.5625793;-48.637958
165;PEV  166;PEV 166  SÃO JOSÉ;Rua José Antônio Pereira, 1044 - Pedregal;Ponto de Referência - . Posto de Combustível VR - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua José Antônio Pereira, 1044 - Pedregal;-27.5694068;-48.6403608
166;PEV  167;PEV 167  SÃO JOSÉ;Av. das Margaridas, 14 - José Nitro;Praça do Morar Bem - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Av. das Margaridas, 14 - José Nitro;-27.5413147;-48.6441194
167;PEV  168;PEV 168  SÃO JOSÉ;Rua Wenceslau Evaristo da Silva, 1 - Praça da Vila Santa Rita;Ponto de Referência - . Residencial Flores do Mediterrâneo e Residencial - Instalado em Abril 2024;SÃO JOSÉ;SÃO JOSÉ, Rua Wenceslau Evaristo da Silva, 1 - Praça da Vila Santa Rita;-27.5444303;-48.6253243
168;PEV  169;PEV 169  SÃO JOSÉ;Rua Josefina Borsato, 1 - Serrraria;Esquina com Rua Adélia Schroeder Pontes, 101 - INSTALAR;SÃO JOSÉ;SÃO JOSÉ, Rua Josefina Borsato, 1 - Serrraria;-27.5473131;-48.63452720000001
169;PEV  170;PEV 170  SÃO JOSÉ;Rua Otto Júlio Malina, 1701;Em frente ao Esquenta Bebidas e Direto do Campo - INSTALAR;SÃO JOSÉ;SÃO JOSÉ, Rua Otto Júlio Malina, 1701;-27.5683874;-48.63054169999999
170;PEV  171;PEV 171  SÃO JOSÉ;Avenida Acioni  Souza Filho, 1630 – ;Em frente a Cassol Center Lar;SÃO JOSÉ;SÃO JOSÉ, Avenida Acioni  Souza Filho, 1630 –;-27.602741;-48.6164514
171;PEV  172;PEV 172  SÃO JOSE;Rua Fagundes  Varela, 408;ao lado do PEV 130;SÃO JOSE;SÃO JOSE, Rua Fagundes  Varela, 408;-27.558006;-48.6316095
172;PEV  173;PEV 173  SÃO JOSÉ;RuaJoão José Martins, 226;CEI Prof. Lindomar Antônio Fabro - INSTALAR;SÃO JOSÉ;SÃO JOSÉ, RuaJoão José Martins, 226;-27.5609482;-48.6343609
173;PEV  174;PEV 174  SÃO JOSÉ;Rua Rodney Brasil Machado, 59;Em frente ao condomínio Jardins de Cintra - INSTALAR;SÃO JOSÉ;SÃO JOSÉ, Rua Rodney Brasil Machado, 59;-27.5981374;-48.6710131
174;PEV  175;PEV 175  SÃO JOSÉ;Rua Docilicio Luz, 632;CEM São Luiz - INSTALAR;SÃO JOSÉ;SÃO JOSÉ, Rua Docilicio Luz, 632;-27.5973997;-48.6313002
175;PEV  176;PEV 176  SÃO JOSÉ;Rua Farroupilha, 101;Em frente ao SESI;SÃO JOSÉ;SÃO JOSÉ, Rua Farroupilha, 101;-27.5889525;-48.6072663
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
181;PEV  182;PEV 182  NOVA TRENTO;Rod. Dep. Gentil Battisti Archer, 7201 - Claraiba;Unidade Sanitária Municipal - Em frente ao Supermercados Carol;NOVA TRENTO;NOVA TRENTO, Rod. Dep. Gentil Battisti Archer, 7201 - Claraiba;-27.216361;-48.899365
182;PEV  183;PEV 183  GOVERNADOR CELSO RAMOS;Rodovia Municipal Francisco Wollinger - SC 410, nº 2130;em frente ao Komprão ;GOVERNADOR CELSO RAMOS;GOVERNADOR CELSO RAMOS, Rodovia Municipal Francisco Wollinger - SC 410, nº 2130;-27.3162012;-48.5590734
183;PEV  184;PEV 184  GOVERNADOR CELSO RAMOS;Rodovia Municipal Francisco Wollinger - SC 410 , Nº 550  - Praia de Calheiros;Ginásio de Esporte - em frente à LOJA BERLANDA e Vigilância Sanitária Municipal;GOVERNADOR CELSO RAMOS;GOVERNADOR CELSO RAMOS, Rodovia Municipal Francisco Wollinger - SC 410 , Nº 550  - Praia de Calheiros;-27.318569;-48.5638249
184;PEV  185;PEV 185  GOVERNADOR CELSO RAMOS;Rua Tomaz de Souza, 227 - Areias demBaixo;Praça de Areias do Meio;GOVERNADOR CELSO RAMOS;GOVERNADOR CELSO RAMOS, Rua Tomaz de Souza, 227 - Areias demBaixo;-27.3776394;-48.6132254
185;PEV  186;PEV 186  GOVERNADOR CELSO RAMOS;Rua Alamedas das Videiras, esquina com Rua dos Pampos;Praia de Palmas;GOVERNADOR CELSO RAMOS;GOVERNADOR CELSO RAMOS, Rua Alamedas das Videiras, esquina com Rua dos Pampos;-27.3287198;-48.5388969
186;PEV  187;PEV 187 BIGUAÇU;Rua Antônio José Garcia, 15 - Guaporanga;Ao lado dos supermercados Cachoeira e na frente da Panificadora Giopã;BIGUAÇU;BIGUAÇU, Rua Antônio José Garcia, 15 - Guaporanga;-27.3951318;-48.6324125
187;PEV  188;PEV 188 BIGUAÇU;Rua João Luiz Duarte, 856  - Bom Viver;Em frente aos supermercados Magnos ;BIGUAÇU;BIGUAÇU, Rua João Luiz Duarte, 856  - Bom Viver;-27.5321437;-48.6371462
188;PEV  189;PEV 189 BIGUAÇU;Rua Homero de Miranda Gomes, 984 ;Esquina Rua Neri Odilon Cardoso;BIGUAÇU;BIGUAÇU, Rua Homero de Miranda Gomes, 984;-27.523119;-48.6558561
189;PEV  190;PEV 190 BIGUAÇU;Rodovia João Adão Reitz, 8530 (SC407) ;Ao lado da Unidade Básica de Saúde – UBS Santa Catarina;BIGUAÇU;BIGUAÇU, Rodovia João Adão Reitz, 8530 (SC407);-27.4919268;-48.7255206
190;PEV  191;PEV 191 BIGUAÇU;Rua João José Rodrigues, 216;Ao lado do Ponto de Onibus;BIGUAÇU;BIGUAÇU, Rua João José Rodrigues, 216;-27.4994859;-48.6628528
191;PEV  192;PEV 192  S. J. BATISTA;DEFINIR LOCAL;;S. J. BATISTA;S. J. BATISTA, DEFINIR LOCAL;-27.2778852;-48.85234579999999
192;PEV  193;PEV 193  TIJUCAS;DEFINIR LOCAL;;TIJUCAS;TIJUCAS, DEFINIR LOCAL;-27.240063;-48.63361829999999
193;PEV  194;PEV 194  Alfredo Wagner;Rua Padre Cristovão Arnald, 700;Em frente ao Bar Oasis;Alfredo Wagner;Alfredo Wagner, Rua Padre Cristovão Arnald, 700;-27.6945855;-49.3390808
